id,label
1047426981317378054,dispendikmlgkab
1049789345589157889,INASLI1
1049973106956066816,HayuTarisa
1051291349398376449,runasazuhayra0x
1051451290465628160,urdeepsadness
1054219330039119872,ikhwan6690
1054624393555468288,Indri42180639
1055115112837668864,ainaaa319
1055820014303891457,nixieminds
1056107640269357056,BrowSniperBack
1056613260676423680,nurrhadiwijaya
1058489225148948480,spring_kji
1060751875371261953,astropholee
1062156210089078787,YantiiikkGaming
1065277176075837441,imaculataadc_
1065562506410651649,GSeledri
1066543303208787970,adorkids
1066993367630790656,oleabreeze
1067413164155854848,anakmamamimie
1068065299214163968,3CareIndonesia
1070319488447344641,M1kailAn
1070338952475828225,JWilliam21
1070950532435468288,pejuangdugdag
1071041102055014400,SinagaTioris
1071088162372370432,remahanoreooo
1071260972432556033,vrggga
1072038735456268288,lavenleen
1072278467314573312,capricroz
1072784059447689216,_laperraloca
1072906356280111104,parskuy
1073811605140336642,LiiaMonday
1073996516308660224,diniahsss
1074107864543719424,Nyoman62919146
1074359467939049473,mocipeachy
1074872358404419584,ctlyanaisy
1075673058931806208,IndiHome
1075878948507127808,BAzrill
1077389505676509185,haechands
1077435761002045440,maulahella
1077734482797420544,nununuxi
1077993423108370432,LanggamID
1078614368865013760,epdnl_f
1078965512963387394,akukalemnpolos
1079265175872536576,hellowbusan
1080830048054046720,BerburuSale
1083009250014588929,hellow_jinan
1083253856027332608,Gunadi84380182
1083701907581853696,jovaiueo_
1084456172395016193,UPIfess
1084960468828020737,beautiful_bl00m
1084991187692343296,pdkjatengcab12
1086166010967670784,puffyyzz
1087659345767067650,lpmpkepri
1087776739462328320,riangurs
1088270024874151936,lpmpbanten
1088738100560285696,fake_gl
1089167212638687232,LinNasution
1089454075706408960,Andhika99485174
1089686965140635648,Cabdisdikwil7
1090095053186293760,magicmagicuu
1092401416562298880,kubalapak
1092543832527257602,Atmytuoi
1092600230036496384,Fuj0shit
1095000764198473728,honeygulfie
1095332992858255360,yeepilyn
1096293217610358784,kbpermatabunda
1096413713542799366,Masarief___
1098484324469432320,Putrihandaa2
1098783352914464768,NovemberBboyy
1099949677238091777,buchindomieee
1100995614286860288,AprilJawels
1101062708323971072,BagusHilarious
1101291607855325184,Fila94225336
1101347353045291008,Fahri28fhr
1102269503772123137,kawakawla
1104556101146619905,hyunjeen_angel
1106344658102177792,Ator54164346
1106809957586919424,MarlinaSetya1
1106916824069767168,indomiesme
1107654933422075906,yourpotatooo
1108322170290077696,bougenvilleasp
1108363556662042625,YOHOYOLOYOLO
1111061652726677504,Rifsof1
1112181774992314368,CR7finoallafine
1113089140516544512,susahstalking
1113285155899072513,picapris
1113798915449483265,COxCOBASE
1114184483010273280,wijenss
1114304088869441536,Junjuna77
1114710404012228608,mlgcollegefess
1115267194844114947,terseog
1115408754302828549,dibalikbatu_
1115499231760924672,rhisma09
1116745456854298625,aufaaarief
1117105955680874496,AndhikaDwi26
1119071280706117632,roseshfly134
1119217226085650432,halumolo
1119405713342619648,Yudhayuud
1119501042842882048,pemerisaan
1120032744061329408,eldwiss
1120618970749358080,reneminisci
1122184969135083520,auyakuya
1122517030861557760,Yusvannn
1124273806351028224,afitrinzone
1124449352502501377,nasi_nurnas
1124503709398982656,sulistyo_tantry
1124540757644152837,sitianingsih6
1125404743780585472,pinkeuspecs
1125515406611869696,Ubinnoona
